images,pilltype_id,label_code_id,prod_code_id,is_ref,is_front,is_new,image_path,label_full,label
0.jpg,51285-0092-87_BE305F72,51285,92,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/0.jpg,51285-0092-87_BE305F72,51285-0092-87
10.jpg,00093-0148-01_4629A34D,93,148,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/10.jpg,00093-0148-01_4629A34D,00093-0148-01
100.jpg,00093-7248-06_7829BC3D,93,7248,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/100.jpg,00093-7248-06_7829BC3D,00093-7248-06
1003.jpg,00093-0928-06_6926B4E5,93,928,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1003.jpg,00093-0928-06_6926B4E5,00093-0928-06
1004.jpg,50111-0459-01_1C300E70,50111,459,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1004.jpg,50111-0459-01_1C300E70,50111-0459-01
1005.jpg,16252-0590-99_2B2015D0,16252,590,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1005.jpg,16252-0590-99_2B2015D0,16252-0590-99
1006.jpg,00093-7220-06_692934D9,93,7220,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1006.jpg,00093-7220-06_692934D9,00093-7220-06
1007.jpg,47335-0894-81_7F1DBFBD,47335,894,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1007.jpg,47335-0894-81_7F1DBFBD,47335-0894-81
1008.jpg,00093-5256-68_8727C3AE,93,5256,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1008.jpg,00093-5256-68_8727C3AE,00093-5256-68
1009.jpg,00093-7188-56_0323818C,93,7188,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1009.jpg,00093-7188-56_0323818C,00093-7188-56
1010.jpg,15456-0980-04_9418CA26,15456,980,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1010.jpg,15456-0980-04_9418CA26,15456-0980-04
1011.jpg,00555-0572-35_1B2B8DCC,555,572,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1011.jpg,00555-0572-35_1B2B8DCC,00555-0572-35
1012.jpg,60505-2671-09_AB1DD5AE,60505,2671,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1012.jpg,60505-2671-09_AB1DD5AE,60505-2671-09
1013.jpg,00093-0028-01_6A29B54D,93,28,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1013.jpg,00093-0028-01_6A29B54D,00093-0028-01
1016.jpg,00093-0892-01_A32B519A,93,892,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1016.jpg,00093-0892-01_A32B519A,00093-0892-01
1017.jpg,00172-5413-46_E923F4AF,172,5413,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1017.jpg,00172-5413-46_E923F4AF,00172-5413-46
1018.jpg,41616-0759-83_671DB3BD,41616,759,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1018.jpg,41616-0759-83_671DB3BD,41616-0759-83
1019.jpg,00378-3632-01_4B242591,378,3632,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1019.jpg,00378-3632-01_4B242591,00378-3632-01
1020.jpg,41616-0636-83_1A240D60,41616,636,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1020.jpg,41616-0636-83_1A240D60,41616-0636-83
1021.jpg,64679-0936-03_7E05BF4D,64679,936,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1021.jpg,64679-0936-03_7E05BF4D,64679-0936-03
1023.jpg,00781-5191-01_CD20E6B7,781,5191,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1023.jpg,00781-5191-01_CD20E6B7,00781-5191-01
1024.jpg,59762-5024-01_4D26A6A5,59762,5024,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1024.jpg,59762-5024-01_4D26A6A5,59762-5024-01
1025.jpg,00603-6147-21_212190CC,603,6147,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1025.jpg,00603-6147-21_212190CC,00603-6147-21
1026.jpg,00143-9919-01_02230118,143,9919,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1026.jpg,00143-9919-01_02230118,00143-9919-01
1029.jpg,50458-0579-30_8F1DC7FE,50458,579,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1029.jpg,50458-0579-30_8F1DC7FE,50458-0579-30
103.jpg,16110-0075-01_D21FE93F,16110,75,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/103.jpg,16110-0075-01_D21FE93F,16110-0075-01
